"node_name","start_time","end_time","average_cpu_usage_percent","physical_cores"
v_techfin_poc_node0002,2025-05-23 12:50:00.000,2025-05-23 12:51:00.000,1.65,32
v_techfin_poc_node0002,2025-05-23 12:51:00.000,2025-05-23 12:52:00.000,2.54,32
v_techfin_poc_node0002,2025-05-23 12:52:00.000,2025-05-23 12:53:00.000,1.62,32
v_techfin_poc_node0002,2025-05-23 12:53:00.000,2025-05-23 12:54:00.000,1.63,32
v_techfin_poc_node0002,2025-05-23 12:54:00.000,2025-05-23 12:55:00.000,1.63,32
v_techfin_poc_node0002,2025-05-23 12:55:00.000,2025-05-23 12:56:00.000,1.58,32
v_techfin_poc_node0002,2025-05-23 12:56:00.000,2025-05-23 12:57:00.000,2.49,32
v_techfin_poc_node0002,2025-05-23 12:57:00.000,2025-05-23 12:58:00.000,0.71,32
v_techfin_poc_node0002,2025-05-23 12:58:00.000,2025-05-23 12:59:00.000,0.73,32
v_techfin_poc_node0002,2025-05-23 12:59:00.000,2025-05-23 13:00:00.000,1.46,32
v_techfin_poc_node0002,2025-05-23 13:00:00.000,2025-05-23 13:01:00.000,1.55,32
v_techfin_poc_node0002,2025-05-23 13:01:00.000,2025-05-23 13:02:00.000,0.99,32
v_techfin_poc_node0002,2025-05-23 13:02:00.000,2025-05-23 13:03:00.000,1.48,32
v_techfin_poc_node0002,2025-05-23 13:03:00.000,2025-05-23 13:04:00.000,0.96,32
v_techfin_poc_node0002,2025-05-23 13:04:00.000,2025-05-23 13:05:00.000,1.49,32
v_techfin_poc_node0002,2025-05-23 13:05:00.000,2025-05-23 13:06:00.000,1.53,32
v_techfin_poc_node0002,2025-05-23 13:06:00.000,2025-05-23 13:07:00.000,1.51,32
v_techfin_poc_node0002,2025-05-23 13:07:00.000,2025-05-23 13:08:00.000,1.88,32
v_techfin_poc_node0002,2025-05-23 13:08:00.000,2025-05-23 13:09:00.000,1.46,32
v_techfin_poc_node0002,2025-05-23 13:09:00.000,2025-05-23 13:10:00.000,0.18,32
v_techfin_poc_node0002,2025-05-23 13:10:00.000,2025-05-23 13:11:00.000,0.76,32
v_techfin_poc_node0003,2025-05-23 12:50:00.000,2025-05-23 12:51:00.000,1.7,32
v_techfin_poc_node0003,2025-05-23 12:51:00.000,2025-05-23 12:52:00.000,2.67,32
v_techfin_poc_node0003,2025-05-23 12:52:00.000,2025-05-23 12:53:00.000,1.66,32
v_techfin_poc_node0003,2025-05-23 12:53:00.000,2025-05-23 12:54:00.000,1.64,32
v_techfin_poc_node0003,2025-05-23 12:54:00.000,2025-05-23 12:55:00.000,1.61,32
v_techfin_poc_node0003,2025-05-23 12:55:00.000,2025-05-23 12:56:00.000,1.7,32
v_techfin_poc_node0003,2025-05-23 12:56:00.000,2025-05-23 12:57:00.000,2.55,32
v_techfin_poc_node0003,2025-05-23 12:57:00.000,2025-05-23 12:58:00.000,0.77,32
v_techfin_poc_node0003,2025-05-23 12:58:00.000,2025-05-23 12:59:00.000,0.79,32
v_techfin_poc_node0003,2025-05-23 12:59:00.000,2025-05-23 13:00:00.000,1.55,32
v_techfin_poc_node0003,2025-05-23 13:00:00.000,2025-05-23 13:01:00.000,1.69,32
v_techfin_poc_node0003,2025-05-23 13:01:00.000,2025-05-23 13:02:00.000,1.09,32
v_techfin_poc_node0003,2025-05-23 13:02:00.000,2025-05-23 13:03:00.000,1.58,32
v_techfin_poc_node0003,2025-05-23 13:03:00.000,2025-05-23 13:04:00.000,1.04,32
v_techfin_poc_node0003,2025-05-23 13:04:00.000,2025-05-23 13:05:00.000,1.58,32
v_techfin_poc_node0003,2025-05-23 13:05:00.000,2025-05-23 13:06:00.000,1.66,32
v_techfin_poc_node0003,2025-05-23 13:06:00.000,2025-05-23 13:07:00.000,1.62,32
v_techfin_poc_node0003,2025-05-23 13:07:00.000,2025-05-23 13:08:00.000,1.98,32
v_techfin_poc_node0003,2025-05-23 13:08:00.000,2025-05-23 13:09:00.000,1.55,32
v_techfin_poc_node0003,2025-05-23 13:09:00.000,2025-05-23 13:10:00.000,0.21,32
v_techfin_poc_node0003,2025-05-23 13:10:00.000,2025-05-23 13:11:00.000,0.82,32
v_techfin_poc_node0001,2025-05-23 12:50:00.000,2025-05-23 12:51:00.000,8.1,32
v_techfin_poc_node0001,2025-05-23 12:51:00.000,2025-05-23 12:52:00.000,10.62,32
v_techfin_poc_node0001,2025-05-23 12:52:00.000,2025-05-23 12:53:00.000,8.14,32
v_techfin_poc_node0001,2025-05-23 12:53:00.000,2025-05-23 12:54:00.000,8.05,32
v_techfin_poc_node0001,2025-05-23 12:54:00.000,2025-05-23 12:55:00.000,8.12,32
v_techfin_poc_node0001,2025-05-23 12:55:00.000,2025-05-23 12:56:00.000,8.05,32
v_techfin_poc_node0001,2025-05-23 12:56:00.000,2025-05-23 12:57:00.000,10.18,32
v_techfin_poc_node0001,2025-05-23 12:57:00.000,2025-05-23 12:58:00.000,2.05,32
v_techfin_poc_node0001,2025-05-23 12:58:00.000,2025-05-23 12:59:00.000,2.08,32
v_techfin_poc_node0001,2025-05-23 12:59:00.000,2025-05-23 13:00:00.000,4.83,32
v_techfin_poc_node0001,2025-05-23 13:00:00.000,2025-05-23 13:01:00.000,4.91,32
v_techfin_poc_node0001,2025-05-23 13:01:00.000,2025-05-23 13:02:00.000,3.67,32
v_techfin_poc_node0001,2025-05-23 13:02:00.000,2025-05-23 13:03:00.000,4.79,32
v_techfin_poc_node0001,2025-05-23 13:03:00.000,2025-05-23 13:04:00.000,3.57,32
v_techfin_poc_node0001,2025-05-23 13:04:00.000,2025-05-23 13:05:00.000,4.75,32
v_techfin_poc_node0001,2025-05-23 13:05:00.000,2025-05-23 13:06:00.000,4.84,32
v_techfin_poc_node0001,2025-05-23 13:06:00.000,2025-05-23 13:07:00.000,4.84,32
v_techfin_poc_node0001,2025-05-23 13:07:00.000,2025-05-23 13:08:00.000,3.94,32
v_techfin_poc_node0001,2025-05-23 13:08:00.000,2025-05-23 13:09:00.000,4.82,32
v_techfin_poc_node0001,2025-05-23 13:09:00.000,2025-05-23 13:10:00.000,0.82,32
v_techfin_poc_node0001,2025-05-23 13:10:00.000,2025-05-23 13:11:00.000,2.16,32
